Symbol,Company Name,Stock Price,Price Target,PT Diff in %,Score,Valuation,Valuation1,PT Diff in % Absolute,Score1,BG_Value,Score2,PE Ratio,PE_Market_avg,Score3,Industry,PE_Industry_group_avg,Score4,Valuation_total_score,Symbol,Company Name,EPS Growth 5Y,EPS_Industry_group_avg,PScore1,EPS_Market_avg,PScore2,Industry,Rev. Growth 5Y,Rev_Industry_group_avg,PScore3,Rev_Market_avg,PScore4,ROE,PScore5,Performance_total_score,Symbol,Company Name,Op. Income,FScore1,Current Ratio,FScore2,Industry,Debt / Equity,DE_Industry_group_avg,FScore3,DE_Market_avg,FScore4,EPS Growth 3Y,EPS Growth 5Y,FScore5,Financial_total_score,Total_Score,Max_Score,Stock_Score_Ratio (%)
CWBC,Community West Bancshares,12.26,,,0,,,,0,19.618703943295785,1,9.15,62.24668954248366,0,Banks - Regional,11.796324786324789,0,1,CWBC,Community West Bancshares,16.67,17.076541095890413,0,13.162481789802287,1,Banks - Regional,6.95,12.27737541528239,0,13.650812124678296,0,10.8,0,1,CWBC,Community West Bancshares,17051000.0,1,,0,Banks - Regional,1.02,0.965042492917847,0,2.0191649269311065,1,12.54%,16.67%,1,3,5,15,33.33
CWBR,CohBar,2.91,,,0,,,,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0,CWBR,CohBar,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-64.9,0,0,CWBR,CohBar,-11437083.0,0,15.94,1,Biotechnology,,0.9478119349005424,0,2.0191649269311065,0,,,0,1,1,15,6.67
CWCO,Consolidated Water,22.45,24.0,6.9,1,Underpriced,Slightly,6.9,0,10.930143975256678,0,44.02,62.24668954248366,0,Utilities - Regulated Water,33.253846153846155,0,1,CWCO,Consolidated Water,6.06,5.204,1,13.162481789802287,0,Utilities - Regulated Water,13.02,12.781666666666666,1,13.650812124678296,0,5.0,0,2,CWCO,Consolidated Water,11508416.0,1,3.29,1,Utilities - Regulated Water,0.01,1.0107142857142857,1,2.0191649269311065,1,-3.64%,6.06%,1,5,8,15,53.33
CWD,CaliberCos,2.17,,,0,,,,0,,0,19.73,62.24668954248366,0,,,0,0,CWD,CaliberCos,,,0,13.162481789802287,0,,,,0,13.650812124678296,0,-32.9,0,0,CWD,CaliberCos,-8449000.0,0,,0,,,,0,2.0191649269311065,0,,,0,0,0,15,0.0
CWEN,Clearway Energy,30.14,38.33,27.17,1,Underpriced,Significantly,27.17,1,35.720024505000765,1,5.72,62.24668954248366,0,Utilities - Renewable,28.711428571428574,0,3,CWEN,Clearway Energy,,-16.22,0,13.162481789802287,0,Utilities - Renewable,4.53,12.406666666666666,0,13.650812124678296,0,27.4,1,1,CWEN,Clearway Energy,273000000.0,1,2.02,1,Utilities - Renewable,3.75,2.029130434782609,0,2.0191649269311065,0,,,0,2,6,15,40.0
CWEN.A,Clearway Energy,28.77,,,0,,,,0,35.1267286634931,1,5.46,62.24668954248366,0,Utilities - Renewable,28.711428571428574,0,1,CWEN.A,Clearway Energy,,-16.22,0,13.162481789802287,0,Utilities - Renewable,4.53,12.406666666666666,0,13.650812124678296,0,27.4,1,1,CWEN.A,Clearway Energy,273000000.0,1,2.02,1,Utilities - Renewable,3.75,2.029130434782609,0,2.0191649269311065,0,,,0,2,4,15,26.67
CWH,Camping World Holdings,28.07,30.33,8.05,1,Underpriced,Slightly,8.05,0,12.290514471011289,0,12.42,62.24668954248366,0,Auto & Truck Dealerships,22.174705882352946,0,1,CWH,Camping World Holdings,24.35,14.869285714285716,1,13.162481789802287,1,Auto & Truck Dealerships,8.79,19.66263157894737,0,13.650812124678296,0,56.2,1,3,CWH,Camping World Holdings,478003000.0,1,1.39,1,Auto & Truck Dealerships,26.77,3.888888888888889,0,2.0191649269311065,0,,24.35%,0,2,6,15,40.0
CWK,Cushman & Wakefield,8.77,13.5,53.93,1,Underpriced,Significantly,53.93,1,7.18566662626856,0,26.58,62.24668954248366,0,Real Estate Services,69.253,0,2,CWK,Cushman & Wakefield,,-4.894545454545455,0,13.162481789802287,0,Real Estate Services,6.75,7.5712,0,13.650812124678296,0,4.7,0,0,CWK,Cushman & Wakefield,381500000.0,1,1.18,1,Real Estate Services,2.28,2.759705882352941,1,2.0191649269311065,0,,,0,3,5,15,33.33
CWST,Casella Waste Systems,86.82,100.2,15.41,1,Underpriced,Slightly,15.41,0,15.039866645089903,0,85.12,62.24668954248366,1,Waste Management,34.87,1,3,CWST,Casella Waste Systems,,15.146,0,13.162481789802287,0,Waste Management,12.68,19.254666666666665,0,13.650812124678296,0,10.8,0,0,CWST,Casella Waste Systems,95491000.0,1,1.29,1,Waste Management,1.31,1.2615,0,2.0191649269311065,1,12.31%,,0,3,6,15,40.0
CWT,California Water Service Group,52.47,56.0,6.73,1,Underpriced,Slightly,6.73,0,26.53803587016858,0,38.87,62.24668954248366,0,Utilities - Regulated Water,33.253846153846155,0,1,CWT,California Water Service Group,-1.82,5.204,0,13.162481789802287,0,Utilities - Regulated Water,3.16,12.781666666666666,0,13.650812124678296,0,5.7,0,0,CWT,California Water Service Group,100033000.0,1,0.77,0,Utilities - Regulated Water,0.91,1.0107142857142857,1,2.0191649269311065,1,8.74%,-1.82%,0,3,4,15,26.67
CX,CEMEX,7.2,6.62,-8.06,0,Overpriced,Slightly,8.06,0,5.562565428604275,0,18.0,62.24668954248366,0,Building Materials,40.26923076923077,0,0,CX,CEMEX,-4.5,21.674,0,13.162481789802287,0,Building Materials,31.87,12.483636363636364,1,13.650812124678296,1,8.4,0,2,CX,CEMEX,1094000000.0,1,0.82,0,Building Materials,0.84,0.6686666666666666,0,2.0191649269311065,1,,-4.50%,0,2,4,15,26.67
CXAC,C5 Acquisition,10.61,,,0,,,,0,,0,96.45,62.24668954248366,1,Shell Companies,132.68085501858738,0,1,CXAC,C5 Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-45.2,0,0,CXAC,C5 Acquisition,-1996306.0,0,0.62,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,1,15,6.67
CXAI,CXApp,11.03,,,0,,,,0,,0,,62.24668954248366,0,Software - Application,164.93469696969697,0,0,CXAI,CXApp,,11.917352941176471,0,13.162481789802287,0,Software - Application,,20.571181818181817,0,13.650812124678296,0,-408.8,0,0,CXAI,CXApp,-29025000.0,0,1.58,1,Software - Application,0.01,4.053584905660378,1,2.0191649269311065,1,,,0,3,3,15,20.0
CXDO,Crexendo,1.72,4.0,132.56,1,Underpriced,Significantly,132.56,1,,0,,62.24668954248366,0,Telecom Services,38.86371428571429,0,2,CXDO,Crexendo,,-1.5838095238095244,0,13.162481789802287,0,Telecom Services,31.38,17.697551020408163,1,13.650812124678296,1,-66.7,0,2,CXDO,Crexendo,-37573000.0,0,1.43,1,Telecom Services,0.11,1.788103448275862,1,2.0191649269311065,1,,,0,3,7,15,46.67
CXM,Sprinklr,14.58,15.9,9.05,1,Underpriced,Slightly,9.05,0,,0,,62.24668954248366,0,Software - Application,164.93469696969697,0,1,CXM,Sprinklr,,11.917352941176471,0,13.162481789802287,0,Software - Application,,20.571181818181817,0,13.650812124678296,0,-5.1,0,0,CXM,Sprinklr,-31289000.0,0,1.99,1,Software - Application,0.03,4.053584905660378,1,2.0191649269311065,1,,,0,3,4,15,26.67
CXT,"Crane NXT, Co.",55.06,71.0,28.95,1,Underpriced,Significantly,28.95,1,74.95921883167833,1,7.83,62.24668954248366,0,Specialty Industrial Machinery,42.107894736842105,0,3,CXT,"Crane NXT, Co.",19.21,12.515,1,13.162481789802287,1,Specialty Industrial Machinery,2.82,4.818548387096774,0,13.650812124678296,0,21.5,1,3,CXT,"Crane NXT, Co.",374700000.0,1,1.74,1,Specialty Industrial Machinery,0.59,1.4795714285714288,1,2.0191649269311065,1,54.94%,19.21%,0,4,10,15,66.67
CXW,CoreCivic,9.3,11.5,23.66,1,Underpriced,Significantly,23.66,1,16.68068755437703,1,9.39,62.24668954248366,0,REIT - Specialty,41.85875,0,3,CXW,CoreCivic,-6.7,10.748666666666669,0,13.162481789802287,0,REIT - Specialty,1.0,7.951176470588234,0,13.650812124678296,0,8.2,0,0,CXW,CoreCivic,164153000.0,1,1.31,1,REIT - Specialty,0.78,3.496875,1,2.0191649269311065,1,-11.94%,-6.70%,1,5,8,15,53.33
CYAN,Cyanotech,1.08,,,0,,,,0,,0,,62.24668954248366,0,Packaged Foods,24.583589743589744,0,0,CYAN,Cyanotech,,4.118461538461538,0,13.162481789802287,0,Packaged Foods,-4.87,23.44333333333333,0,13.650812124678296,0,-9.3,0,0,CYAN,Cyanotech,-1302000.0,0,3.11,1,Packaged Foods,0.56,1.4919354838709675,1,2.0191649269311065,1,,,0,3,3,15,20.0
CYBN,Cybin,0.28,6.5,2221.43,1,Underpriced,Significantly,2221.43,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,CYBN,Cybin,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-78.3,0,0,CYBN,Cybin,-39527737.0,0,6.89,1,Biotechnology,,0.9478119349005424,0,2.0191649269311065,0,,,0,1,3,15,20.0
CYBR,CyberArk Software,149.52,174.32,16.59,1,Underpriced,Slightly,16.59,0,,0,,62.24668954248366,0,Software - Infrastructure,91.06395348837208,0,1,CYBR,CyberArk Software,,22.663478260869564,0,13.162481789802287,0,Software - Infrastructure,17.92,16.15350649350649,1,13.650812124678296,1,-19.1,0,2,CYBR,CyberArk Software,-157492000.0,0,2.31,1,Software - Infrastructure,0.84,3.3344545454545456,1,2.0191649269311065,1,,,0,3,6,15,40.0
CYCC,Cyclacel Pharmaceuticals,0.76,8.0,952.63,1,Underpriced,Significantly,952.63,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,CYCC,Cyclacel Pharmaceuticals,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-118.5,0,0,CYCC,Cyclacel Pharmaceuticals,-28416000.0,0,2.59,1,Biotechnology,0.01,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
CYCN,Cyclerion Therapeutics,4.54,,,0,,,,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0,CYCN,Cyclerion Therapeutics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-270.5,0,0,CYCN,Cyclerion Therapeutics,-38430000.0,0,1.11,1,Biotechnology,,0.9478119349005424,0,2.0191649269311065,0,,,0,1,1,15,6.67
CYD,China Yuchai International,10.0,,,0,,,,0,23.41084437457828,1,13.33,62.24668954248366,0,Specialty Industrial Machinery,42.107894736842105,0,1,CYD,China Yuchai International,-17.62,12.515,0,13.162481789802287,0,Specialty Industrial Machinery,10.9,4.818548387096774,1,13.650812124678296,0,2.4,0,1,CYD,China Yuchai International,74503730.0,1,1.52,1,Specialty Industrial Machinery,0.27,1.4795714285714288,1,2.0191649269311065,1,-37.54%,-17.62%,0,4,6,15,40.0
CYH,Community Health Systems,4.22,6.07,43.84,1,Underpriced,Significantly,43.84,1,2.6706525572533204,0,,62.24668954248366,0,Medical Care Facilities,27.51,0,2,CYH,Community Health Systems,,8.7785,0,13.162481789802287,0,Medical Care Facilities,-3.46,6.7909375,0,13.650812124678296,0,,0,0,CYH,Community Health Systems,804000000.0,1,1.46,1,Medical Care Facilities,,4.20725,0,2.0191649269311065,0,,,0,2,4,15,26.67
CYN,Cyngn,1.2,,,0,,,,0,,0,,62.24668954248366,0,Software - Application,164.93469696969697,0,0,CYN,Cyngn,,11.917352941176471,0,13.162481789802287,0,Software - Application,,20.571181818181817,0,13.650812124678296,0,-79.7,0,0,CYN,Cyngn,-21426936.0,0,20.07,1,Software - Application,0.01,4.053584905660378,1,2.0191649269311065,1,,,0,3,3,15,20.0
CYRX,Cryoport,21.72,29.2,34.44,1,Underpriced,Significantly,34.44,1,,0,,62.24668954248366,0,Integrated Freight & Logistics,62.13,0,2,CYRX,Cryoport,,9.77923076923077,0,13.162481789802287,0,Integrated Freight & Logistics,79.59,11.018666666666666,1,13.650812124678296,1,-6.7,0,2,CYRX,Cryoport,-34130000.0,0,14.54,1,Integrated Freight & Logistics,0.79,3.175,1,2.0191649269311065,1,,,0,3,7,15,46.67
CYT,Cyteir Therapeutics,2.2,2.33,5.91,1,Underpriced,Slightly,5.91,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,1,CYT,Cyteir Therapeutics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-29.7,0,0,CYT,Cyteir Therapeutics,-47461000.0,0,34.94,1,Biotechnology,,0.9478119349005424,0,2.0191649269311065,0,,,0,1,2,15,13.33
CYTH,Cyclo Therapeutics,2.26,,,0,,,,0,1.129588661427574,0,,62.24668954248366,0,Drug Manufacturers - Specialty & Generic,42.62173913043478,0,0,CYTH,Cyclo Therapeutics,,12.529999999999998,0,13.162481789802287,0,Drug Manufacturers - Specialty & Generic,3.35,36.78283333333333,0,13.650812124678296,0,-452.1,0,0,CYTH,Cyclo Therapeutics,-17694561.0,0,0.89,0,Drug Manufacturers - Specialty & Generic,,1.5526190476190476,0,2.0191649269311065,0,,,0,0,0,15,0.0
CYTK,"Cytokinetics,",34.84,59.57,70.98,1,Underpriced,Significantly,70.98,1,15.76003874796575,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,CYTK,"Cytokinetics,",,12.32846153846154,0,13.162481789802287,0,Biotechnology,46.6,20.71185567010309,1,13.650812124678296,1,,0,2,CYTK,"Cytokinetics,",-370818000.0,0,9.05,1,Biotechnology,,0.9478119349005424,0,2.0191649269311065,0,,,0,1,5,15,33.33
CYTO,Altamira Therapeutics,0.77,,,0,,,,0,30.024745333893264,1,,62.24668954248366,0,Biotechnology,22.024186046511627,0,1,CYTO,Altamira Therapeutics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-1123.7,0,0,CYTO,Altamira Therapeutics,-28100662.0,0,0.14,0,Biotechnology,,0.9478119349005424,0,2.0191649269311065,0,,,0,0,1,15,6.67
CZFS,Citizens Financial Services,86.67,,,0,,,,0,93.7678355711759,1,11.79,62.24668954248366,0,Banks - Regional,11.796324786324789,0,1,CZFS,Citizens Financial Services,13.69,17.076541095890413,0,13.162481789802287,1,Banks - Regional,10.5,12.27737541528239,0,13.650812124678296,0,14.6,0,1,CZFS,Citizens Financial Services,35785000.0,1,,0,Banks - Regional,1.35,0.965042492917847,0,2.0191649269311065,1,10.85%,13.69%,1,3,5,15,33.33
CZNC,Citizens & Northern,21.01,21.0,-0.05,0,Overpriced,Slightly,0.05,0,25.002968491369614,1,12.58,62.24668954248366,0,Banks - Regional,11.796324786324789,0,1,CZNC,Citizens & Northern,7.19,17.076541095890413,0,13.162481789802287,0,Banks - Regional,11.58,12.27737541528239,0,13.650812124678296,0,10.4,0,0,CZNC,Citizens & Northern,31634000.0,1,,0,Banks - Regional,0.91,0.965042492917847,1,2.0191649269311065,1,7.08%,7.19%,1,4,5,15,33.33
CZOO,Cazoo Group,1.36,22.85,1580.15,1,Underpriced,Significantly,1580.15,1,,0,,62.24668954248366,0,Auto & Truck Dealerships,22.174705882352946,0,2,CZOO,Cazoo Group,,14.869285714285716,0,13.162481789802287,0,Auto & Truck Dealerships,,19.66263157894737,0,13.650812124678296,0,-179.6,0,0,CZOO,Cazoo Group,-804819277.0,0,1.76,1,Auto & Truck Dealerships,8.89,3.888888888888889,0,2.0191649269311065,0,,,0,1,3,15,20.0
CZR,Caesars Entertainment,48.84,69.8,42.92,1,Underpriced,Significantly,42.92,1,,0,,62.24668954248366,0,Resorts & Casinos,17.665833333333335,0,2,CZR,Caesars Entertainment,,8.589,0,13.162481789802287,0,Resorts & Casinos,45.89,8.034117647058823,1,13.650812124678296,1,-9.6,0,2,CZR,Caesars Entertainment,2352000000.0,1,0.85,0,Resorts & Casinos,7.12,5.668888888888889,0,2.0191649269311065,0,,,0,1,5,15,33.33
CZWI,Citizens Community Bancorp,8.89,,,0,,,,0,23.696464830562338,1,5.59,62.24668954248366,0,Banks - Regional,11.796324786324789,0,1,CZWI,Citizens Community Bancorp,23.21,17.076541095890413,1,13.162481789802287,1,Banks - Regional,15.15,12.27737541528239,1,13.650812124678296,1,10.1,0,4,CZWI,Citizens Community Bancorp,22285000.0,1,,0,Banks - Regional,1.52,0.965042492917847,0,2.0191649269311065,1,17.11%,23.21%,1,3,8,15,53.33
D,Dominion Energy,53.33,65.53,22.88,1,Underpriced,Significantly,22.88,1,32.920779049812275,0,37.56,62.24668954248366,0,Utilities - Regulated Electric,21.315454545454543,0,2,D,Dominion Energy,-20.53,1.7596428571428573,0,13.162481789802287,0,Utilities - Regulated Electric,7.45,5.4415625,1,13.650812124678296,0,4.5,0,1,D,Dominion Energy,2065000000.0,1,0.75,0,Utilities - Regulated Electric,1.69,1.4908333333333337,0,2.0191649269311065,1,-11.95%,-20.53%,1,3,6,15,40.0
DAC,Danaos,65.33,80.0,22.46,1,Underpriced,Significantly,22.46,1,234.17958555271665,1,3.58,62.24668954248366,0,Marine Shipping,4.0184848484848485,0,3,DAC,Danaos,12.77,24.530833333333334,0,13.162481789802287,0,Marine Shipping,17.3,23.755384615384614,0,13.650812124678296,1,14.9,0,1,DAC,Danaos,667840000.0,1,1.86,1,Marine Shipping,0.18,0.9689189189189188,1,2.0191649269311065,1,37.55%,12.77%,0,4,8,15,53.33
DADA,Dada Nexus,6.57,14.0,113.09,1,Underpriced,Significantly,113.09,1,,0,,62.24668954248366,0,Internet Retail,84.58538461538463,0,2,DADA,Dada Nexus,,11.265999999999996,0,13.162481789802287,0,Internet Retail,,29.33217391304348,0,13.650812124678296,0,-24.4,0,0,DADA,Dada Nexus,-273683261.0,0,3.53,1,Internet Retail,0.02,3.060681818181818,1,2.0191649269311065,1,,,0,3,5,15,33.33
DAIO,Data I/O,4.5,,,0,,,,0,2.117488292321408,0,50.0,62.24668954248366,0,Electronic Components,24.471666666666668,0,0,DAIO,Data I/O,-30.12,18.7575,0,13.162481789802287,0,Electronic Components,-5.13,8.227837837837837,0,13.650812124678296,0,4.3,0,0,DAIO,Data I/O,781000.0,1,3.81,1,Electronic Components,0.07,0.4120454545454545,1,2.0191649269311065,1,,-30.12%,0,4,4,15,26.67
DAKT,Daktronics,6.73,,,0,,,,0,,0,,62.24668954248366,0,Electronic Components,24.471666666666668,0,0,DAKT,Daktronics,,18.7575,0,13.162481789802287,0,Electronic Components,2.78,8.227837837837837,0,13.650812124678296,0,-8.6,0,0,DAKT,Daktronics,2806000.0,1,1.61,1,Electronic Components,0.13,0.4120454545454545,1,2.0191649269311065,1,,,0,4,4,15,26.67
DAL,Delta Air Lines,42.79,49.47,15.61,1,Underpriced,Slightly,15.61,0,25.46918573797232,0,14.46,62.24668954248366,0,Airlines,29.661666666666665,0,1,DAL,Delta Air Lines,-7.83,-13.34375,1,13.162481789802287,0,Airlines,5.15,11.413846153846151,0,13.650812124678296,0,35.7,1,2,DAL,Delta Air Lines,5032000000.0,1,0.47,0,Airlines,4.72,3.4875,0,2.0191649269311065,0,-18.11%,-7.83%,1,2,5,15,33.33
DALN,DallasNews,3.97,,,0,,,,0,,0,,62.24668954248366,0,Publishing,28.225,0,0,DALN,DallasNews,,35.705000000000005,0,13.162481789802287,0,Publishing,-8.81,3.167,0,13.650812124678296,0,-47.6,0,0,DALN,DallasNews,-9265000.0,0,1.92,1,Publishing,1.89,6.746666666666666,1,2.0191649269311065,1,,,0,3,3,15,20.0
DALS,DA32 Life Science Tech Acquisition,10.25,,,0,,,,0,,0,146.43,62.24668954248366,1,Shell Companies,132.68085501858738,1,2,DALS,DA32 Life Science Tech Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-37.6,0,0,DALS,DA32 Life Science Tech Acquisition,-1838613.0,0,0.36,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,2,15,13.33
DAN,Dana Incorporated,16.81,16.0,-4.82,0,Overpriced,Slightly,4.82,0,,0,,62.24668954248366,0,Auto Parts,53.232,0,0,DAN,Dana Incorporated,,1.3090476190476197,0,13.162481789802287,0,Auto Parts,6.18,4.2305882352941175,1,13.650812124678296,0,-13.9,0,1,DAN,Dana Incorporated,110000000.0,1,1.47,1,Auto Parts,1.87,1.3533333333333335,0,2.0191649269311065,1,,,0,3,4,15,26.67
DAO,Youdao,5.22,8.25,58.05,1,Underpriced,Significantly,58.05,1,6.721243462697237,1,,62.24668954248366,0,Education & Training Services,47.4225,0,3,DAO,Youdao,,15.502857142857142,0,13.162481789802287,0,Education & Training Services,,8.417142857142856,0,13.650812124678296,0,,0,0,DAO,Youdao,-123051965.0,0,0.38,0,Education & Training Services,,0.6446341463414634,0,2.0191649269311065,0,,,0,0,3,15,20.0
DAR,Darling Ingredients,65.12,91.9,41.12,1,Underpriced,Significantly,41.12,1,50.51673917928749,0,14.5,62.24668954248366,0,Packaged Foods,24.583589743589744,0,2,DAR,Darling Ingredients,27.94,4.118461538461538,1,13.162481789802287,1,Packaged Foods,13.71,23.44333333333333,0,13.650812124678296,1,19.7,0,3,DAR,Darling Ingredients,1052014000.0,1,1.73,1,Packaged Foods,1.21,1.4919354838709675,1,2.0191649269311065,1,25.71%,27.94%,1,5,10,15,66.67
DARE,Daré Bioscience,0.95,6.5,584.21,1,Underpriced,Significantly,584.21,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,DARE,Daré Bioscience,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-162.2,0,0,DARE,Daré Bioscience,-31367687.0,0,1.21,1,Biotechnology,0.08,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
DASH,DoorDash,73.26,77.12,5.27,1,Underpriced,Slightly,5.27,0,,0,,62.24668954248366,0,Internet Content & Information,31.845,0,1,DASH,DoorDash,,7.8825,0,13.162481789802287,0,Internet Content & Information,,20.223636363636363,0,13.650812124678296,0,-19.8,0,0,DASH,DoorDash,-1122000000.0,0,1.73,1,Internet Content & Information,0.08,0.4833928571428571,1,2.0191649269311065,1,,,0,3,4,15,26.67
DATS,DatChat,0.69,,,0,,,,0,,0,,62.24668954248366,0,Software - Application,164.93469696969697,0,0,DATS,DatChat,,11.917352941176471,0,13.162481789802287,0,Software - Application,,20.571181818181817,0,13.650812124678296,0,-80.4,0,0,DATS,DatChat,-11345564.0,0,21.26,1,Software - Application,0.01,4.053584905660378,1,2.0191649269311065,1,,,0,3,3,15,20.0
DAVA,Endava,53.97,76.0,40.82,1,Underpriced,Significantly,40.82,1,22.859235891692684,0,23.78,62.24668954248366,0,Software - Infrastructure,91.06395348837208,0,2,DAVA,Endava,,22.663478260869564,0,13.162481789802287,0,Software - Infrastructure,,16.15350649350649,0,13.650812124678296,0,20.0,0,0,DAVA,Endava,143783133.0,1,3.14,1,Software - Infrastructure,0.12,3.3344545454545456,1,2.0191649269311065,1,59.05%,,0,4,6,15,40.0
DAVE,Dave Inc.,5.7,,,0,,,,0,,0,,62.24668954248366,0,Software - Application,164.93469696969697,0,0,DAVE,Dave Inc.,,11.917352941176471,0,13.162481789802287,0,Software - Application,,20.571181818181817,0,13.650812124678296,0,-89.3,0,0,DAVE,Dave Inc.,-124204000.0,0,11.08,1,Software - Application,1.79,4.053584905660378,1,2.0191649269311065,1,,,0,3,3,15,20.0
DAWN,Day One Biopharmaceuticals,13.25,40.57,206.19,1,Underpriced,Significantly,206.19,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,DAWN,Day One Biopharmaceuticals,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-45.3,0,0,DAWN,Day One Biopharmaceuticals,-165016000.0,0,14.11,1,Biotechnology,0.0,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
DB,Deutsche Bank Aktiengesellschaft,10.42,,,0,,,,0,42.36920056754448,1,4.05,62.24668954248366,0,Banks - Regional,11.796324786324789,0,1,DB,Deutsche Bank Aktiengesellschaft,29.79,17.076541095890413,1,13.162481789802287,1,Banks - Regional,1.1,12.27737541528239,0,13.650812124678296,0,9.0,0,2,DB,Deutsche Bank Aktiengesellschaft,5794680851.0,1,,0,Banks - Regional,2.23,0.965042492917847,0,2.0191649269311065,0,-7.38%,29.79%,1,2,5,15,33.33
DBGI,Digital Brands Group,0.71,,,0,,,,0,25.184181786546137,1,,62.24668954248366,0,Apparel Retail,21.7276,0,1,DBGI,Digital Brands Group,,11.90315789473684,0,13.162481789802287,0,Apparel Retail,,4.026428571428571,0,13.650812124678296,0,,0,0,DBGI,Digital Brands Group,-30735736.0,0,0.22,0,Apparel Retail,,4.661875,0,2.0191649269311065,0,,,0,0,1,15,6.67
DBI,Designer Brands,9.13,12.67,38.77,1,Underpriced,Significantly,38.77,1,17.77753175563001,1,4.35,62.24668954248366,0,Apparel Retail,21.7276,0,3,DBI,Designer Brands,19.55,11.90315789473684,1,13.162481789802287,1,Apparel Retail,2.69,4.026428571428571,0,13.650812124678296,0,36.6,1,3,DBI,Designer Brands,144558000.0,1,1.3,1,Apparel Retail,2.75,4.661875,1,2.0191649269311065,0,,19.55%,0,3,9,15,60.0
DBRG,DigitalBridge Group,13.86,19.79,42.78,1,Underpriced,Significantly,42.78,1,,0,,62.24668954248366,0,REIT - Diversified,31.277272727272727,0,2,DBRG,DigitalBridge Group,,-0.132222222222222,0,13.162481789802287,0,REIT - Diversified,-15.3,7.515000000000001,0,13.650812124678296,0,-20.8,0,0,DBRG,DigitalBridge Group,-608499000.0,0,,0,REIT - Diversified,0.39,1.7460869565217394,1,2.0191649269311065,1,,,0,2,4,15,26.67
DBTX,Decibel Therapeutics,4.25,11.67,174.59,1,Underpriced,Significantly,174.59,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,DBTX,Decibel Therapeutics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-69.2,0,0,DBTX,Decibel Therapeutics,-64059000.0,0,4.14,1,Biotechnology,0.19,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
DBVT,DBV Technologies,1.97,7.0,255.33,1,Underpriced,Significantly,255.33,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,DBVT,DBV Technologies,,12.32846153846154,0,13.162481789802287,0,Biotechnology,-8.24,20.71185567010309,0,13.650812124678296,0,-48.3,0,0,DBVT,DBV Technologies,-110485069.0,0,6.41,1,Biotechnology,0.01,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
DBX,Dropbox,25.97,26.29,1.23,1,Underpriced,Slightly,1.23,0,,0,17.2,62.24668954248366,0,Software - Infrastructure,91.06395348837208,0,1,DBX,Dropbox,,22.663478260869564,0,13.162481789802287,0,Software - Infrastructure,15.1,16.15350649350649,0,13.650812124678296,1,-120.0,0,1,DBX,Dropbox,175900000.0,1,1.21,1,Software - Infrastructure,,3.3344545454545456,0,2.0191649269311065,0,,,0,2,4,15,26.67
DC,Dakota Gold,3.23,5.25,62.54,1,Underpriced,Significantly,62.54,1,,0,,62.24668954248366,0,Gold,61.23947368421052,0,2,DC,Dakota Gold,,11.377142857142855,0,13.162481789802287,0,Gold,,6.142173913043479,0,13.650812124678296,0,-22.4,0,0,DC,Dakota Gold,-33214089.0,0,6.0,1,Gold,,0.4391428571428571,0,2.0191649269311065,0,,,0,1,3,15,20.0
