Symbol,Company Name,Market Cap,Stock Price,Price Target,PT Diff. (%),Industry,PE Ratio,EPS,PEG Ratio,PB Ratio,Shares Out,Equity,Sector,EPS Growth,PS Ratio,Beta (1Y),ROE,Valuation,PT Diff in %,Score,Valuation1,Score1,PT Diff in % Absolute,BG_Value,Score2,Score3,PE_Market_avg,Score4,PE_Industry_group_avg
CDNS,Cadence Design Systems,64309794560,235.84,220.27,-6.60%,Software - Application,75.35,3.13,2.07,21.87,272684000.0,2940876000.0,Technology,16.79%,17.47,1.06,31.10%,Overpriced,-6.6,0,Slightly,0,6.6,27.559539490173204,0,1,62.24668954248366,0,164.93469696969697
CDRE,Cadre Holdings,785547400,20.9,31.2,49.28%,Aerospace & Defense,33.71,0.62,,4.64,37586000.0,169450000.0,Industrials,,1.69,,14.40%,Underpriced,49.28,1,Significantly,1,49.28,7.930395298118483,0,0,62.24668954248366,0,30.43444444444444
CDRO,Codere Online Luxembourg,139517532,3.08,N/A,,Gambling,,-1.1,,5.37,45297900.0,25958511.0,Consumer Discretionary,,1.13,-0.13,-100.40%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.953636363636363
CDTX,Cidara Therapeutics,99927972,1.11,4.67,320.72%,Biotechnology,,-0.18,,3.72,90025200.0,26837000.0,Healthcare,,1.2,1.3,-192.80%,Underpriced,320.72,1,Significantly,1,320.72,,0,0,62.24668954248366,0,22.024186046511627
CDW,CDW Corporation,24012305475,178.15,207.5,16.48%,Information Technology Services,22.32,7.98,1.53,15.31,134787008.0,1568900000.0,Technology,10.22%,1.05,1.1,78.10%,Underpriced,16.47,1,Slightly,0,16.47,45.715799545582904,0,0,62.24668954248366,0,32.660810810810815
CDXC,ChromaDex,125943041,1.68,3.7,120.24%,Biotechnology,,-0.15,,4.5,74966096.0,28017000.0,Healthcare,,1.63,1.79,-43.50%,Underpriced,120.24,1,Significantly,1,120.24,,0,0,62.24668954248366,0,22.024186046511627
CDXS,Codexis,192290976,2.88,16.75,481.60%,Biotechnology,,-0.72,-1.16,1.53,66767700.0,126016000.0,Healthcare,,1.65,1.64,-32.80%,Underpriced,481.6,1,Significantly,1,481.6,,0,0,62.24668954248366,0,22.024186046511627
CDZI,Cadiz,286361080,4.3,N/A,,Utilities - Regulated Water,,-0.63,,4.71,66595600.0,60822000.0,Utilities,,192.32,0.69,-71.20%,N/A,,0,,0,,,0,0,62.24668954248366,0,33.253846153846155
CE,Celanese,12401832000,114.0,123.06,7.95%,Chemicals,8.39,13.58,7.85,2.19,108788000.0,5661000000.0,Materials,-27.30%,1.24,1.3,28.10%,Underpriced,7.95,1,Slightly,0,7.95,126.09481394241853,1,0,62.24668954248366,0,10.60153846153846
CEAD,CEA Industries,6218805,0.77,N/A,,Farm & Heavy Construction Machinery,,-0.56,,0.42,8076370.0,14700801.0,Industrials,,0.44,0.88,-28.70%,N/A,,0,,0,,,0,0,62.24668954248366,0,31.45052631578947
CECO,CECO Environmental,455559519,13.17,19.33,46.77%,Pollution & Treatment Controls,26.88,0.49,0.91,2.1,34590700.0,216767000.0,Industrials,512.50%,1.03,1.3,7.90%,Underpriced,46.77,1,Significantly,1,46.77,8.312012874839283,0,0,62.24668954248366,0,63.970000000000006
CEG,Constellation Energy,30134538533,92.89,93.93,1.12%,Utilities - Renewable,,-0.52,0.86,2.78,324411008.0,10859000000.0,Utilities,,1.14,,-1.50%,Underpriced,1.12,1,Slightly,0,1.12,,0,0,62.24668954248366,0,28.711428571428574
CEI,Camber Energy,25096465,1.03,N/A,,Oil & Gas E&P,,-2.28,,,24365500.0,-19469710.0,Energy,,45.27,-1.36,,N/A,,0,,0,,6.402517290719253,1,0,62.24668954248366,0,10.079873417721519
CEIX,CONSOL Energy,2252682885,65.37,80.0,22.38%,Thermal Coal,3.31,19.73,,1.76,34460500.0,1280897000.0,Energy,28085.71%,0.93,1.83,67.50%,Underpriced,22.38,1,Significantly,1,22.38,128.455031118521,1,0,62.24668954248366,0,3.3057142857142856
CELC,Celcuity,235837512,10.74,25.0,132.78%,Biotechnology,,-2.66,,1.91,21958800.0,123226768.0,Healthcare,,,0.6,-50.20%,Underpriced,132.77,1,Significantly,1,132.77,,0,0,62.24668954248366,0,22.024186046511627
CELH,Celsius Holdings,11091432048,144.44,142.57,-1.29%,Beverages - Non-Alcoholic,,-2.31,,136.87,76789200.0,81035000.0,Consumer Staples,,14.22,1.8,-162.70%,Overpriced,-1.29,0,Slightly,0,1.29,,0,0,62.24668954248366,0,42.95916666666667
CELL,PhenomeX,42425472,0.56,3.0,435.71%,Biotechnology,,-1.42,,0.27,75759771.0,157740000.0,Healthcare,,0.55,,-63.30%,Underpriced,435.71,1,Significantly,1,435.71,,0,0,62.24668954248366,0,22.024186046511627
CELU,Celularity,146229300,0.81,6.13,656.79%,Biotechnology,8.1,0.1,,0.94,180530000.0,155628000.0,Healthcare,,9.15,0.19,7.80%,Underpriced,656.79,1,Significantly,1,656.79,1.3927091732267114,1,0,62.24668954248366,0,22.024186046511627
CELZ,Creative Medical Technology Holdings,6967719,4.95,N/A,,Biotechnology,,-8.7,,0.47,1407620.0,14821913.0,Healthcare,,94.67,5.24,-53.00%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.024186046511627
CENN,Cenntro Electric Group,83226598,0.32,N/A,,Auto Manufacturers,,-0.09,,0.35,261308000.0,238744591.0,Consumer Discretionary,,9.7,,-12.10%,N/A,,0,,0,,,0,0,62.24668954248366,0,26.01142857142857
CENT,Central Garden & Pet Company,1997622897,38.79,47.5,22.45%,Packaged Foods,18.38,2.11,2.56,1.46,51498399.0,1371094000.0,Consumer Staples,-23.27%,0.61,0.69,8.40%,Underpriced,22.45,1,Significantly,1,22.45,35.55242574273869,0,0,62.24668954248366,0,24.583589743589744
CENTA,Central Garden & Pet Company,2003153526,36.45,42.0,15.23%,Packaged Foods,17.27,2.11,2.54,1.46,54956201.0,1371094000.0,Consumer Staples,-23.27%,0.61,0.69,8.40%,Underpriced,15.23,1,Slightly,0,15.23,34.41579056939574,0,0,62.24668954248366,0,24.583589743589744
CENX,Century Aluminum Company,899235760,9.74,10.5,7.80%,Aluminum,,-0.75,,2.48,92324000.0,362400000.0,Materials,,0.35,2.67,-15.80%,Underpriced,7.8,1,Slightly,0,7.8,,0,0,62.24668954248366,0,15.29
CEPU,Central Puerto,2250370573,7.27,N/A,,Utilities - Regulated Electric,27.96,0.72,,1.52,309542032.0,1480484121.0,Utilities,,3.92,1.24,7.50%,N/A,,0,,0,,8.80236898084585,1,0,62.24668954248366,0,21.315454545454543
CEQP,Crestwood Equity Partners LP,2959911200,28.12,29.88,6.26%,Oil & Gas Midstream,,-0.05,-4.07,2.38,105260000.0,1241300000.0,Energy,,0.52,2.47,-0.70%,Underpriced,6.26,1,Slightly,0,6.26,,0,0,62.24668954248366,0,11.720851063829787
CERE,Cerevel Therapeutics Holdings,5333890058,34.01,36.27,6.65%,Biotechnology,,-2.53,,12.36,156832992.0,431709000.0,Healthcare,,,1.48,-77.10%,Underpriced,6.65,1,Slightly,0,6.65,,0,0,62.24668954248366,0,22.024186046511627
CERS,Cerus,464018640,2.57,N/A,,Medical Devices,,-0.26,,7.91,180552000.0,58632000.0,Healthcare,,2.52,1.01,-67.00%,N/A,,0,,0,,,0,0,62.24668954248366,0,1044.0974193548386
CERT,Certara,2773085200,17.35,23.63,36.20%,Health Information Services,192.78,0.09,,2.56,159832000.0,1085055000.0,Healthcare,,8.05,1.57,1.30%,Underpriced,36.2,1,Significantly,1,36.2,3.7077165295781302,0,1,62.24668954248366,1,95.41799999999999
CET,Central Securities,1007709928,36.02,N/A,,Asset Management,,-2.47,,0.89,27976400.0,1132835676.0,Financials,,32.36,0.84,,N/A,,0,,0,,,0,0,62.24668954248366,0,42.887671232876706
CETU,Cetus Capital Acquisition,53550653,10.24,N/A,,Shell Companies,,0.0,,14.33,5229556.0,3735975.0,Financials,,,,,N/A,,0,,0,,0.0,0,0,62.24668954248366,0,132.68085501858738
CETX,Cemtrex,8022956,9.06,23.0,153.86%,Software - Infrastructure,,-13.87,,1.09,885536.0,7380364.0,Technology,,0.15,2.18,-91.70%,Underpriced,153.86,1,Significantly,1,153.86,,0,0,62.24668954248366,0,91.06395348837209
CEVA,"CEVA, Inc.",603430320,25.77,35.33,37.10%,Semiconductors,,-1.14,2.0,2.32,23416000.0,259870000.0,Technology,,4.68,1.1,-10.10%,Underpriced,37.1,1,Significantly,1,37.1,,0,0,62.24668954248366,0,328.74357142857144
CF,CF Industries Holdings,13897650000,71.27,93.47,31.15%,Agricultural Inputs,4.77,14.95,0.64,2.55,195000000.0,5453000000.0,Materials,92.90%,1.35,1.0,61.90%,Underpriced,31.15,1,Significantly,1,31.15,96.9867258958668,1,0,62.24668954248366,0,16.491999999999997
CFB,CrossFirst Bankshares,533634588,10.98,15.8,43.90%,Banks - Regional,8.93,1.23,,0.83,48600600.0,645491000.0,Financials,-14.58%,2.56,0.99,10.00%,Underpriced,43.9,1,Significantly,1,43.9,19.172029783725918,1,0,62.24668954248366,0,11.796324786324787
CFBK,CF Bankshares,108323586,16.54,N/A,,Banks - Regional,5.97,2.77,,0.76,6549189.0,143333000.0,Financials,11.24%,2.06,0.59,13.20%,N/A,,0,,0,,36.932650578364694,1,0,62.24668954248366,0,11.796324786324787
CFFE,CF Acquisition Corp. VIII,88600374,10.77,N/A,,Shell Companies,,-0.19,,,8226590.0,-13451195.0,Financials,,,-0.01,,N/A,,0,,0,,2.6438606874181474,0,0,62.24668954248366,0,132.68085501858738
CFFI,C&F Financial,191578083,55.78,N/A,,Banks - Regional,6.51,8.57,,0.95,3434530.0,202583000.0,Financials,12.47%,1.58,0.29,15.40%,N/A,,0,,0,,106.64721335558116,1,0,62.24668954248366,0,11.796324786324787
CFFN,Capitol Federal Financial,895926273,6.58,7.5,13.98%,Banks - Regional,12.42,0.53,4.66,0.84,136159008.0,1072034000.0,Financials,-10.17%,4.4,0.34,6.50%,Underpriced,13.98,1,Slightly,0,13.98,9.689698952184093,1,0,62.24668954248366,0,11.796324786324787
CFFS,CF Acquisition Corp. VII,242996250,10.5,N/A,,Shell Companies,175.0,0.06,,,23142500.0,-4821284.0,Financials,,,,-32.30%,N/A,,0,,0,,,0,1,62.24668954248366,1,132.68085501858738
CFG,Citizens Financial Group,13193512880,27.26,40.57,48.83%,Banks - Regional,6.55,4.16,0.26,0.55,483988000.0,24201000000.0,Financials,-11.86%,1.68,1.3,8.60%,Underpriced,48.83,1,Significantly,1,48.83,68.41278702961458,1,0,62.24668954248366,0,11.796324786324787
CFIV,CF Acquisition Corp. IV,248677137,10.47,N/A,,Shell Companies,80.54,0.13,,,23751398.0,-8148790.0,Financials,30.00%,,-0.03,-110.20%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
CFLT,Confluent,10272819462,34.69,34.47,-0.63%,Software - Infrastructure,,-1.72,,13.79,296132011.0,744851000.0,Technology,,16.2,,-63.60%,Overpriced,-0.63,0,Slightly,0,0.63,,0,0,62.24668954248366,0,91.06395348837209
CFMS,Conformis,8995152,1.2,N/A,,Medical Devices,,-6.06,,0.2,7495960.0,44625000.0,Healthcare,,0.15,1.09,-75.40%,N/A,,0,,0,,,0,0,62.24668954248366,0,1044.0974193548386
CFR,Cullen/Frost Bankers,7193967606,111.71,141.83,26.96%,Banks - Regional,11.16,10.01,0.5,2.07,64398600.0,3467801000.0,Financials,54.24%,3.91,1.04,20.40%,Underpriced,26.96,1,Significantly,1,26.96,110.1278519858488,0,0,62.24668954248366,0,11.796324786324787
CFRX,ContraFect,6532458,1.78,180.75,10054.49%,Biotechnology,,-84.06,,,3669920.0,-3137000.0,Healthcare,,,0.42,,Underpriced,10054.49,1,Significantly,1,10054.49,40.20822602849289,1,0,62.24668954248366,0,22.024186046511627
CFSB,CFSB Bancorp,52862141,7.97,N/A,,Banks - Regional,25.71,0.31,,0.7,6632640.0,75674000.0,Financials,,5.48,,2.50%,N/A,,0,,0,,8.920767866443159,1,0,62.24668954248366,0,11.796324786324787
CG,The Carlyle Group,11363168951,31.38,42.52,35.50%,Asset Management,15.16,2.07,7.58,1.84,362115008.0,6174800000.0,Financials,-71.87%,3.06,1.67,12.30%,Underpriced,35.5,1,Significantly,1,35.5,28.181533214447807,0,0,62.24668954248366,0,42.887671232876706
CGA,China Green Agriculture,40811745,3.05,N/A,,Agricultural Inputs,,-0.78,,0.28,13380900.0,144209850.0,Materials,,0.31,0.75,-12.20%,N/A,,0,,0,,,0,0,62.24668954248366,0,16.491999999999997
CGAU,Centerra Gold,1352233440,6.18,9.67,56.47%,Gold,,-0.98,,0.78,218808000.0,1723950000.0,Materials,,1.73,1.04,-12.60%,Underpriced,56.47,1,Significantly,1,56.47,,0,0,62.24668954248366,0,61.23947368421052
CGBD,Carlyle Secured Lending,740589642,14.58,14.55,-0.21%,Asset Management,9.47,1.54,3.54,0.81,50794900.0,918193000.0,Financials,-45.39%,3.4,1.7,8.60%,Overpriced,-0.21,0,Slightly,0,0.21,25.026986157459593,1,0,62.24668954248366,0,42.887671232876706
CGC,Canopy Growth,328180420,0.63,1.64,160.36%,Drug Manufacturers - Specialty & Generic,,-5.43,,0.32,521004000.0,1040543796.0,Healthcare,,1.02,2.34,-151.70%,Underpriced,160.32,1,Significantly,1,160.32,,0,0,62.24668954248366,0,42.62173913043478
CGEM,Cullinan Oncology,513659745,13.05,29.33,124.75%,Biotechnology,10.61,1.23,,1.06,39360900.0,485649000.0,Healthcare,,,0.09,11.80%,Underpriced,124.75,1,Significantly,1,124.75,18.478748476447883,1,0,62.24668954248366,0,22.024186046511627
CGEN,Compugen,122365458,1.34,5.7,325.37%,Biotechnology,,-0.4,,1.77,91317506.0,69214000.0,Healthcare,,16.32,2.67,-42.00%,Underpriced,325.37,1,Significantly,1,325.37,,0,0,62.24668954248366,0,22.024186046511627
CGNT,Cognyte Software,399975506,5.81,4.0,-31.15%,Software - Infrastructure,,-1.37,,2.15,68842600.0,186130000.0,Technology,,1.34,1.34,-44.50%,Overpriced,-31.15,0,Significantly,1,31.15,,0,0,62.24668954248366,0,91.06395348837209
CGNX,Cognex,9622505304,55.75,51.88,-6.94%,Scientific & Technical Instruments,55.75,1.0,2.04,6.65,172600992.0,1446331000.0,Technology,-35.48%,10.4,1.59,12.30%,Overpriced,-6.94,0,Slightly,0,6.94,13.731040962102309,0,0,62.24668954248366,0,96.33000000000001
CGRN,Capstone Green Energy,22934750,1.25,N/A,,Specialty Industrial Machinery,,-1.16,,21.02,18347800.0,1091000.0,Industrials,,0.31,2.13,-474.50%,N/A,,0,,0,,,0,0,62.24668954248366,0,42.107894736842105
CGTX,Cognition Therapeutics,98956936,3.38,10.5,210.65%,Biotechnology,,-0.95,,2.77,29277200.0,35783000.0,Healthcare,,,,-59.60%,Underpriced,210.65,1,Significantly,1,210.65,,0,0,62.24668954248366,0,22.024186046511627
CHAA,Catcha Investment,100840236,10.38,N/A,,Shell Companies,33.48,0.31,,,9714859.0,-11239147.0,Financials,-6.06%,,0.01,-94.90%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
CHCI,Comstock Holding Companies,37577700,3.99,N/A,,Real Estate - Diversified,4.69,0.85,,1.27,9417970.0,29553000.0,Real Estate,-48.80%,0.92,1.03,30.70%,N/A,,0,,0,,7.746809160924732,1,0,62.24668954248366,0,17.560000000000002
CHCO,City Holding Company,1475644608,97.92,90.0,-8.09%,Banks - Regional,13.95,7.02,1.88,2.27,15069900.0,651050000.0,Financials,20.62%,5.57,0.53,17.70%,Overpriced,-8.09,0,Slightly,0,8.09,82.60603966239172,0,0,62.24668954248366,0,11.796324786324787
CHCT,Community Healthcare Trust,901714832,34.28,44.6,30.10%,REIT - Healthcare Facilities,118.21,0.29,,1.82,26304400.0,494515000.0,Real Estate,-66.67%,8.89,0.73,2.00%,Underpriced,30.11,1,Significantly,1,30.11,11.07556251380429,0,1,62.24668954248366,1,63.504999999999995
CHD,Church & Dwight Co.,23488426240,96.16,93.5,-2.77%,Household & Personal Products,57.58,1.67,3.99,6.4,244264000.0,3667700000.0,Consumer Staples,-48.77%,4.26,0.47,11.50%,Overpriced,-2.77,0,Slightly,0,2.77,23.75290134262301,0,0,62.24668954248366,0,52.93631578947368
CHDN,Churchill Downs,10211178871,136.39,152.08,11.50%,Gambling,18.9,7.22,2.58,14.5,74867504.0,704200000.0,Consumer Discretionary,120.98%,5.09,1.12,89.50%,Underpriced,11.5,1,Slightly,0,11.5,39.08959681462548,0,0,62.24668954248366,0,22.953636363636363
CHE,Chemed,8210723868,546.66,610.0,11.59%,Medical Care Facilities,34.42,15.88,2.57,9.33,15019800.0,880053000.0,Healthcare,-6.97%,3.79,0.53,31.10%,Underpriced,11.59,1,Slightly,0,11.59,144.690110094277,0,0,62.24668954248366,0,27.51
CHEA,Chenghe Acquisition Co.,153064989,10.65,N/A,,Shell Companies,70.99,0.15,,,14374999.0,-3787560.0,Financials,,,,-56.80%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
CHEF,The Chefs' Warehouse,1318336948,33.34,48.2,44.57%,Food Distribution,46.31,0.72,3.2,3.25,39542200.0,405952000.0,Consumer Staples,84.62%,0.47,1.85,7.10%,Underpriced,44.57,1,Significantly,1,44.57,12.896279463656725,0,0,62.24668954248366,0,22.702222222222222
CHEK,Check-Cap,15262862,2.61,N/A,,Diagnostics & Research,,-2.99,,0.41,5847840.0,37025000.0,Healthcare,,,0.44,-41.00%,N/A,,0,,0,,,0,0,62.24668954248366,0,60.269999999999996
CHGG,Chegg,1173216800,9.8,15.2,55.10%,Education & Training Services,7.31,1.34,0.99,1.17,119716000.0,1006759000.0,Consumer Staples,191.30%,1.56,1.14,26.40%,Underpriced,55.1,1,Significantly,1,55.1,15.9231988925708,1,0,62.24668954248366,0,47.4225
CHH,Choice Hotels International,5809971510,113.94,121.88,6.97%,Lodging,19.58,5.82,1.14,123.6,50991500.0,47008000.0,Consumer Discretionary,-2.18%,3.93,1.28,140.70%,Underpriced,6.97,1,Slightly,0,6.97,10.98726867575993,0,0,62.24668954248366,0,41.478571428571435
CHK,Chesapeake Energy,11025450840,82.36,112.75,36.90%,Oil & Gas E&P,1.67,49.28,0.24,1.07,133869000.0,10283000000.0,Energy,,0.78,0.63,89.00%,Underpriced,36.9,1,Significantly,1,36.9,291.84114256408213,1,0,62.24668954248366,0,10.079873417721519
CHKP,Check Point Software Technologies,15808953420,130.91,133.9,2.28%,Software - Infrastructure,19.72,6.55,3.25,5.51,120762000.0,2871500000.0,Technology,8.62%,6.72,0.69,27.70%,Underpriced,2.28,1,Slightly,0,2.28,59.197200761771775,0,0,62.24668954248366,0,91.06395348837209
CHMG,Chemung Financial,185354634,39.35,50.5,28.34%,Banks - Regional,6.34,6.21,,1.05,4710410.0,177341000.0,Financials,8.76%,1.9,0.12,17.30%,Underpriced,28.34,1,Significantly,1,28.34,72.52909868090306,1,0,62.24668954248366,0,11.796324786324787
CHMI,Cherry Hill Mortgage Investment,124599027,4.83,6.0,24.22%,REIT - Mortgage,,-1.71,,0.48,25796900.0,261033000.0,Real Estate,,,1.34,-13.80%,Underpriced,24.22,1,Significantly,1,24.22,,0,0,62.24668954248366,0,16.103125
CHNR,China Natural Resources,15739968,1.92,N/A,,Waste Management,,-0.43,,1.62,8197900.0,9722956.0,Industrials,,5.4,0.48,-34.60%,N/A,,0,,0,,,0,0,62.24668954248366,0,34.87
CHPT,ChargePoint Holdings,3137419369,8.88,15.5,74.55%,Specialty Retail,,-0.99,,9.58,353312992.0,327479000.0,Consumer Discretionary,,6.07,1.68,-94.90%,Underpriced,74.55,1,Significantly,1,74.55,,0,0,62.24668954248366,0,17.69741935483871
CHRD,Chord Energy,6301873333,151.67,181.78,19.85%,Oil & Gas E&P,3.88,39.11,,1.32,41549900.0,4758740000.0,Energy,-6.08%,1.62,1.18,44.70%,Underpriced,19.85,1,Slightly,0,19.85,317.4652282016704,1,0,62.24668954248366,0,10.079873417721519
CHRS,Coherus BioSciences,388563220,4.13,16.5,299.52%,Biotechnology,,-3.48,,,94083104.0,-196507000.0,Healthcare,,2.12,0.94,,Underpriced,299.52,1,Significantly,1,299.52,12.788337082584674,1,0,62.24668954248366,0,22.024186046511627
CHRW,C.H. Robinson Worldwide,11017458180,94.62,92.84,-1.88%,Integrated Freight & Logistics,15.0,6.31,2.71,7.98,116439000.0,1381388000.0,Industrials,-11.00%,0.49,0.81,48.60%,Overpriced,-1.88,0,Slightly,0,1.88,41.04067969142853,0,0,62.24668954248366,0,62.13
CHS,Chico's FAS,637032960,5.16,6.0,16.28%,Apparel Retail,5.61,0.92,0.86,1.81,123456000.0,352831000.0,Consumer Discretionary,27.78%,0.3,1.23,34.80%,Underpriced,16.28,1,Slightly,0,16.28,7.691524711728833,1,0,62.24668954248366,0,21.7276
CHSN,Chanson International Holding,23045400,1.86,N/A,,Restaurants,,-0.14,,19.58,9000000.0,1177049.0,Consumer Discretionary,,1.74,,-64.20%,N/A,,0,,0,,,0,0,62.24668954248366,0,29.79771428571429
CHT,Chunghwa Telecom Co.,31712456581,40.88,N/A,,Telecom Services,26.37,1.54,,2.49,775745024.0,12747540984.0,Communication Services,2.85%,4.4,0.01,9.70%,N/A,,0,,0,,23.861916886941547,0,0,62.24668954248366,0,38.86371428571429
CHTR,Charter Communications,51382215730,341.24,474.86,39.16%,Telecom Services,11.18,30.51,0.3,5.46,150575008.0,9418000000.0,Communication Services,11.43%,0.94,1.11,52.30%,Underpriced,39.16,1,Significantly,1,39.16,207.21216982590025,0,0,62.24668954248366,0,38.86371428571429
CHUY,Chuy's Holdings,723255624,40.08,38.0,-5.19%,Restaurants,31.56,1.27,1.4,2.86,18045300.0,252578000.0,Consumer Discretionary,-13.01%,1.67,1.72,9.40%,Overpriced,-5.19,0,Slightly,0,5.19,19.999025137917545,0,0,62.24668954248366,0,29.79771428571429
CHWY,Chewy,16943246356,39.64,43.16,8.88%,Internet Retail,304.92,0.13,,60.0,427428011.0,282365000.0,Consumer Discretionary,,1.62,0.76,27.20%,Underpriced,8.88,1,Slightly,0,8.88,1.3900706609063012,0,1,62.24668954248366,1,84.58538461538463
CHX,ChampionX,5606623680,28.32,30.8,8.76%,Oil & Gas Equipment & Services,32.18,0.88,0.5,3.32,197974000.0,1688707000.0,Energy,29.41%,1.44,2.56,10.50%,Underpriced,8.76,1,Slightly,0,8.76,12.995879264314796,0,0,62.24668954248366,0,26.985882352941175
CI,Cigna,79539269760,268.83,317.47,18.09%,Healthcare Plans,12.23,21.99,1.22,1.79,295872000.0,44502000000.0,Healthcare,35.82%,0.43,0.63,15.00%,Underpriced,18.09,1,Slightly,0,18.09,272.79832834636716,1,0,62.24668954248366,0,19.19142857142857
CIA,Citizens,114670870,2.3,N/A,,Insurance - Life,,-0.16,,0.74,49856900.0,154291000.0,Financials,,0.49,0.18,-0.50%,N/A,,0,,0,,,0,0,62.24668954248366,0,70.66466666666666
CIB,Bancolombia,6912341205,27.46,31.0,12.89%,Banks - Regional,4.13,5.87,1.65,0.86,251724006.0,8060564812.0,Financials,65.07%,1.62,1.04,19.00%,Underpriced,12.89,1,Slightly,0,12.89,65.03254191708574,1,0,62.24668954248366,0,11.796324786324787
CIEN,Ciena,6624301044,44.31,60.69,36.97%,Communication Equipment,33.07,1.34,0.77,2.28,149499008.0,2908653000.0,Technology,-50.74%,1.64,1.01,7.30%,Underpriced,36.97,1,Significantly,1,36.97,24.219794808649038,0,0,62.24668954248366,0,26.672758620689656
CIFR,Cipher Mining,759260900,3.05,3.6,18.03%,Capital Markets,,-0.12,,2.2,248938000.0,344620000.0,Financials,,,2.29,-8.10%,Underpriced,18.03,1,Slightly,0,18.03,,0,0,62.24668954248366,0,21.3659375
CIG,Companhia Energética de Minas Gerais,6445478883,2.53,N/A,,Utilities - Diversified,6.66,0.35,,1.57,2547620112.0,4116824197.0,Utilities,9.41%,0.99,0.57,19.80%,N/A,,0,,0,,3.567295677561052,1,0,62.24668954248366,0,57.70769230769231
CIGI,Colliers International Group,4227228793,96.31,125.33,30.13%,Real Estate Services,98.28,0.98,1.14,8.65,43891899.0,488668000.0,Real Estate,,0.96,1.59,9.20%,Underpriced,30.13,1,Significantly,1,30.13,15.668198378114218,0,1,62.24668954248366,1,69.253
CIM,Chimera Investment,1283490880,5.53,6.5,17.54%,REIT - Mortgage,,-1.14,-28.14,0.48,232096000.0,2649387000.0,Real Estate,,,1.58,-9.70%,Underpriced,17.54,1,Slightly,0,17.54,,0,0,62.24668954248366,0,16.103125
CINF,Cincinnati Financial,15862790893,100.9,117.67,16.62%,Insurance - Property & Casualty,1441.43,0.07,-158.72,1.48,157212992.0,10741000000.0,Financials,-99.45%,2.09,0.63,0.10%,Underpriced,16.62,1,Slightly,0,16.62,10.373335416822526,0,1,62.24668954248366,1,101.15631578947368
CING,Cingulate,9823251,0.84,4.25,406.37%,Biotechnology,,-1.47,,120.36,11704100.0,81614.0,Healthcare,,,,-272.10%,Underpriced,405.95,1,Significantly,1,405.95,,0,0,62.24668954248366,0,22.024186046511627
CINT,CI&T Inc,828568640,6.19,9.1,47.01%,Software - Infrastructure,29.36,0.21,,,133856000.0,,Technology,19.78%,1.86,,,Underpriced,47.01,1,Significantly,1,47.01,,0,0,62.24668954248366,0,91.06395348837209
CIO,City Office REIT,220460520,5.52,10.33,87.14%,REIT - Office,,-0.34,-7.88,0.28,39938500.0,791132000.0,Real Estate,,1.21,1.58,-1.70%,Underpriced,87.14,1,Significantly,1,87.14,,0,0,62.24668954248366,0,33.86
CION,CION Investment,575943700,10.52,9.75,-7.32%,Asset Management,52.6,0.2,,0.69,54747500.0,830310000.0,Financials,-85.19%,2.64,,1.30%,Overpriced,-7.32,0,Slightly,0,7.32,8.26122108837144,0,0,62.24668954248366,0,42.887671232876706
CIR,CIRCOR International,972645930,47.7,35.33,-25.93%,Specialty Industrial Machinery,24.09,1.98,5.28,6.03,20390900.0,161238000.0,Industrials,,1.21,2.14,29.60%,Overpriced,-25.93,0,Significantly,1,25.93,18.768923234706786,0,0,62.24668954248366,0,42.107894736842105
CISO,Cerberus Cyber Sentinel,35162279,0.2,5.0,2383.86%,Software - Infrastructure,,-0.42,,0.67,174676000.0,52547423.0,Technology,,0.69,1.55,-89.20%,Underpriced,2400.0,1,Significantly,1,2400.0,,0,0,62.24668954248366,0,91.06395348837209
CITE,Cartica Acquisition,304750000,10.6,N/A,,Shell Companies,39.26,0.27,,,28750000.0,-9305631.0,Financials,35.00%,,,-83.20%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
CIVB,Civista Bancshares,269008904,17.06,24.25,42.15%,Banks - Regional,5.99,2.85,1.93,0.77,15768400.0,347697000.0,Financials,12.65%,1.79,0.76,13.60%,Underpriced,42.15,1,Significantly,1,42.15,37.60281401759118,1,0,62.24668954248366,0,11.796324786324787
CIVI,Civitas Resources,5578298738,69.35,77.0,11.03%,Oil & Gas E&P,4.35,15.96,,1.09,80436896.0,5101749000.0,Energy,178.05%,1.54,1.76,26.20%,Underpriced,11.03,1,Slightly,0,11.03,150.91749744607995,1,0,62.24668954248366,0,10.079873417721519
CIX,CompX International,280604160,22.8,N/A,,Security & Protection Services,12.81,1.78,,1.74,12307200.0,161397000.0,Industrials,30.88%,1.69,0.63,13.40%,N/A,,0,,0,,22.91761187361937,1,0,62.24668954248366,0,33.82333333333333
CIZN,Citizens Holding Company,70205500,12.5,N/A,,Banks - Regional,8.06,1.55,,1.71,5616440.0,41123000.0,Financials,13.97%,1.56,0.04,25.20%,N/A,,0,,0,,15.979711754692792,1,0,62.24668954248366,0,11.796324786324787
